"Completed_At","Transaction_ID","Amount","User_ID","User_Type","Status"
"2022-01-01 01:07:04.172336",204,25.24,751,0,FAILURE
"2022-01-01 01:38:52.131860",285,18.58,383,1,FAILURE
"2022-01-01 02:09:48.299514",374,15.11,74,0,FAILURE
"2022-01-01 02:33:39.440532",373,7.16,263,0,FAILURE
"2022-01-01 02:50:29.180035",474,20.47,33,0,FAILURE
"2022-01-01 03:19:10.693338",588,17.03,533,0,FAILURE
"2022-01-01 03:43:40.007895",659,33.78,148,1,FAILURE
"2022-01-01 03:47:30.004287",675,18.48,781,0,FAILURE
"2022-01-01 04:01:50.000442",716,23.75,23,0,FAILURE
"2022-01-01 04:31:20.017930",805,25.41,759,0,FAILURE
"2022-01-01 04:59:50.078954",899,25.47,94,0,FAILURE
"2022-01-01 06:00:40",1080,19.39,95,1,FAILURE
"2022-01-01 06:15:20.002438",1131,18.28,412,1,FAILURE
"2022-01-01 06:35:00.000099",1200,17.72,14,0,FAILURE
"2022-01-01 07:22:20.031806",1335,20.83,146,0,FAILURE
"2022-01-01 07:23:30.263986",1338,11.13,505,1,FAILURE
"2022-01-01 08:10:10.158207",1491,14.73,443,0,FAILURE
"2022-01-01 08:15:10.000336",1505,23.84,690,1,FAILURE
"2022-01-01 08:59:39.570988",1639,44.67,570,0,FAILURE
"2022-01-01 10:06:50.009797",1855,39.68,841,0,FAILURE
"2022-01-01 10:36:58.303465",1927,36.82,420,1,FAILURE
"2022-01-01 12:24:20.000005",2274,22.83,796,1,FAILURE
"2022-01-01 14:02:13.312919",2571,16.8,588,0,FAILURE
"2022-01-01 14:06:08.839322",2549,33.05,925,1,FAILURE
"2022-01-01 14:35:59.710283",2565,29.82,122,1,FAILURE
"2022-01-01 14:51:30.000030",2725,19.31,289,0,FAILURE
"2022-01-01 15:38:11.083665",2776,21.06,442,0,FAILURE
"2022-01-01 15:39:30.000291",2871,16.7,884,0,FAILURE
"2022-01-01 16:07:26.502202",2953,16.63,427,0,FAILURE
"2022-01-01 16:32:29.340294",2661,30.03,492,1,FAILURE
"2022-01-01 16:32:31.139161",2663,20.58,734,0,FAILURE
"2022-01-01 17:17:00.010604",3165,34.77,951,0,FAILURE
"2022-01-01 18:46:50.277855",3361,15.32,681,1,FAILURE
"2022-01-01 18:49:58.886358",3442,10.91,533,0,FAILURE
"2022-01-01 19:06:20.613794",3497,30.55,225,0,FAILURE
"2022-01-01 19:06:41.616014",3493,13.41,699,1,FAILURE
"2022-01-01 21:47:14.464006",3971,11.97,886,1,FAILURE
"2022-01-01 23:33:10.003600",4267,14.7,761,0,FAILURE
"2022-01-01 23:35:40",4277,33.47,116,0,FAILURE
"2022-01-02 00:30:50.000198",4435,35.73,397,1,FAILURE
"2022-01-02 00:36:00.058609",4448,13.13,357,0,FAILURE
"2022-01-02 01:32:52.320674",4506,39.78,582,0,FAILURE
"2022-01-02 02:02:41.175714",4511,6.48,210,0,FAILURE
"2022-01-02 02:50:10",4851,31.42,451,0,FAILURE
"2022-01-02 03:19:10.049692",4939,9.41,311,0,FAILURE
"2022-01-02 03:28:05.775735",4959,16.98,577,1,FAILURE
"2022-01-02 03:46:30.000021",5022,18.7,921,0,FAILURE
"2022-01-02 03:49:19.128159",5027,19.14,303,1,FAILURE
"2022-01-02 04:00:40.000006",5064,38.51,424,0,FAILURE
"2022-01-02 04:12:30.000004",5102,33.58,829,0,FAILURE
"2022-01-02 04:30:10.009313",5156,12.23,654,1,FAILURE
"2022-01-02 05:03:41.700257",5236,10.76,79,0,FAILURE
"2022-01-02 05:21:00.247164",5316,24.29,410,1,FAILURE
"2022-01-02 05:41:35.978316",5115,28.58,695,0,FAILURE
"2022-01-02 06:51:30.000185",5579,33.07,226,0,SUCCESS
"2022-01-02 07:11:24.979263",5571,11.61,768,0,FAILURE
"2022-01-02 07:37:03.440716",5709,23.7,721,0,FAILURE
"2022-01-02 08:04:00.159698",5785,29.69,867,0,FAILURE
"2022-01-02 08:39:45.928957",5739,16.53,499,1,SUCCESS
"2022-01-02 09:58:30.000449",6136,19.58,290,0,FAILURE
"2022-01-02 11:09:50.000013",6355,6.01,232,0,FAILURE
"2022-01-02 13:40:40.000310",6796,22.25,958,0,FAILURE
"2022-01-02 15:33:36.200753",7114,11.3,759,0,FAILURE
"2022-01-02 15:38:22.937311",7092,36.05,90,0,FAILURE
"2022-01-02 16:28:00.032417",7275,9.99,532,0,FAILURE
"2022-01-02 17:13:10.000010",7397,0.34,627,0,FAILURE
"2022-01-02 17:17:50.001457",7416,19.57,175,0,FAILURE
"2022-01-02 17:45:00",7488,21.84,948,0,FAILURE
"2022-01-02 17:50:51.306608",7483,27.25,259,0,FAILURE
"2022-01-02 19:08:17.679724",7729,15.65,450,1,FAILURE
"2022-01-02 19:15:47.090664",7758,12.97,102,0,FAILURE
"2022-01-02 19:22:30.393817",7779,19.67,97,0,FAILURE
"2022-01-02 19:27:39.891876",7740,41.9,991,0,FAILURE
"2022-01-02 20:20:23.932398",7660,5.24,542,0,FAILURE
"2022-01-02 20:48:07.712247",6862,16.11,910,0,FAILURE
"2022-01-02 22:22:40.010550",8317,0.01,238,1,FAILURE
"2022-01-02 22:49:45.197753",930,13.91,692,0,FAILURE
"2022-01-02 22:57:05.690519",8402,12.86,819,1,FAILURE
"2022-01-02 22:59:09.300356",8416,3.96,202,0,FAILURE
"2022-01-02 23:26:37.077512",8433,2.83,79,0,FAILURE
"2022-01-02 23:50:30",8574,11.59,512,0,FAILURE
"2022-01-03 00:05:49.358783",8295,24.29,468,1,FAILURE
"2022-01-03 00:59:38.546505",7324,16.62,625,1,FAILURE
