"Date","Gross Transaction Value for ProdA","Gross Transaction Value for ProdB","Total Gross Transaction Value"
"2022-01-01",25269.73,42956.98,68226.71
"2022-01-02",25623.62,43658.21,69281.83
"2022-01-03",26879.21,43865.38,70744.59
"2022-01-04",32868.89,53871.63,86740.52
"2022-01-05",31980.51,53368.24,85348.75
"2022-01-06",33722.19,56420.12,90142.31
"2022-01-07",32723.64,55930.87,88654.51
"2022-01-08",32076.78,54824.44,86901.22
"2022-01-09",32389.54,53226.69,85616.23
"2022-01-10",31695.4,54638.4,86333.8
"2022-01-11",32223.46,54430.34,86653.8
"2022-01-12",31536.9,54767.76,86304.66
"2022-01-13",30693.16,54899.44,85592.6
"2022-01-14",31238.68,55312.82,86551.5
"2022-01-15",32619.83,53334.89,85954.72
"2022-01-16",31645.61,55612.66,87258.27
"2022-01-17",33002.52,53951.3,86953.82
"2022-01-18",30627.98,55487.43,86115.41
"2022-01-19",32030.6,55771.18,87801.78
"2022-01-20",32477.54,54003.28,86480.82
"2022-01-21",33072.0,55822.42,88894.42
"2022-01-22",31885.4,54340.82,86226.22
"2022-01-23",32776.33,55200.59,87976.92
"2022-01-24",33420.14,55100.78,88520.92
"2022-01-25",32278.48,54636.2,86914.68
"2022-01-26",33789.95,53011.57,86801.52
"2022-01-27",32237.3,56138.26,88375.56
"2022-01-28",32799.87,52841.35,85641.22
"2022-01-29",31771.17,56598.98,88370.15
"2022-01-30",32517.3,54717.02,87234.32
